《新起点英语》小学单词归类
 
seasons: (季节)
play the double bass   拉倍低音提琴
play the horn            吹号
play the trumpet         吹小号
play the piccolo          吹短笛
play the clarinet         吹单簧管
play the Oboe           吹双簧管
play the saxophone       吹萨克斯
play the English horn     吹英国管
play the bassoon         吹大管

do chores： 做家务 
do housework         做家务
feed the fish           喂鱼        
wash clothes          洗衣服
water the flower        浇花
cook the chicken       炖鸡
clean the kitchen       打扫厨房
walk the dog          遛狗
do the dishes          洗碗
set the table           摆放餐具
clear the table          收拾桌子
take out the garbage     倒垃圾
sweep the floor         扫地
look after the dog       照顾小狗
go shopping           买东西

time: (时间)
day                  白天
am.                  上午
pm.                  下午
year                  年
time                 时间
second                秒
hour                 小时
minute               分钟
o’clock               钟点
afternoon             下午
morning              早上
evening               傍晚
night                 夜里
the day after tomorrow   后天
today                 今天
tomorrow              明天
yesterday              昨天
now                  现在
last year              去年
next month            下个月
future                将来

频率词
often                常常
never                从不
usually              通常地
always              总是
sometimes           有时
once a week          一周一次
twice a week         一周两次
three times a week     一周三次
every day             每天
seldom               很少、不常

Week：(周，星期)   
Sunday              星期天
Monday             星期一
Tuesday             星期二 
Wednesday          星期三
Thursday            星期四
Friday              星期五
Saturday            星期六
weekend            周末
weekday            工作日

Month：(月份) 
January             一月
February            二月
March              三月
April               四月
May                五月
June                六月
July                七月
August              八月
September           九月
October             十月
November           十一月
December           十二月

序数词
first                  第一
second                第二
third                  第三
fourth                 第四
fifth                  第五
sixth                  第六
eighth                 第八
ninth                  第九
tenth                  第十
twelfth                第十二
twentieth              第二十

Numbers: (数字)
one                  一
two                  二
three                 三
four                  四
five                  五
six                   六
seven                七
eight                 八
nine                  九
ten                   十
eleven               十一
twelve               十二 
thirteen              十三
fourteen             十四
fifteen               十五
sixteen              十六    
seventeen            十七
eighteen            十八
nineteen            十九
twenty              二十
twenty-one          二十一
thirty               三十
forty               四十
fifty               五十
sixty               六十
seventy             七十
eighty              八十
ninety              九十
hundred             一百
thousand            一千
million              一百万
billion               十亿
trillion               万亿

home：(家庭房间)
bedroom	卧室
balcony	阳台
bathroom            浴室
kitchen              厨房
living room           客厅
dining room          餐厅
study                书房
balcony              阳台
garage               车库

furniture: (家具)
closet               衣柜
wardrobe            衣柜
telephone            电话
computer            电脑
TV                 电视
bed                 床
picture              图片
table               桌子
lamp               台灯
armchair            手扶椅
clock               钟表
fridge               冰箱

building(建筑物)
place               地点
community          社区
street               街道
bank               银行
bakery              面包房
restaurant           餐馆
newspaper stand      报摊
nursery school       幼儿院
primary school       小学
drugstore            药店
bookshop           书店
bookstore           书店
grocery store        杂货店
gas station          加油站
police station        警察局
subway station       地铁站
coffee shop          咖啡店
cinema             电影院
theatre              剧院
hairdresser’s         理发店
beauty shop         美发店
park               公园
zoo                动物园
home               家
house              房子
hotel               宾馆
bus stop            车站
hospital            医院
post office          邮局
supermarket         超市
department store     百货商场
shopping center     购物中心
gallery            美术馆
gym              体育馆
museum           博物馆
university          大学
stadium            体育馆
square             广场
clinic              诊所
office              办公室
floor               楼层
crossing            十字路口
footbridge          天桥
crosswalk          人行横道
sidewalk           人行道
underpass          地下通道

School room: (专用教室) 
library             图书馆
clinic              诊所
office             办公室
music room        音乐教室
science room       科学教室
art room           美术教室
computer room      电脑教室
washroom          洗手间
gym              体育馆
floor              楼层
playground         操场

classroom: (教室)
door                门
window             窗户
blackboard           黑板
desk                课桌
chair                椅子

classes: (课程)
Art                 美术
Chinese             汉语
English             英语
Math               数学
P.E.                体育课
Computer           计算机
Music              音乐
Science             科学
Moral Character      思品
Dance               形体
Single-chip           单片机
Handwriting         书法
Calligraphy          书法
Practice              实践
Robot                机器人   

Stationary：(文具) 
eraser               橡皮
book                书
ruler                尺子
notebook             笔记本
backpack             背包
schoolbag            书包
pencil case           文具盒
brush                毛笔
disk                 磁盘
whiteout             涂改液
stapler               订书器
scissors              剪刀
folder               文件夹
crayon               蜡笔
paper                纸
dictionary            字典
glue stick            胶棒
pencil sharpener       转笔刀
map                 地图
card                 卡片

food: (食物)
fruit: 水果
apple               苹果
banana              香蕉                
grape               葡萄
melon              西瓜
orange              桔子
peach               桃子
pear                梨
pineapple            菠萝
strawberry           草莓
cherry               樱桃

drink: 饮料
milk               牛奶
tea                 茶
juice               果汁
water               水
coffee              咖啡
coke               可口可乐
ice cream           冰激凌
pop                汽水
black tea            红茶
green tea            绿茶

vegetables: 蔬菜
carrot              胡萝卜
cucumber           黄瓜
egg                鸡蛋
onion              洋葱
potato              土豆
tomato             西红柿

Pudding: 甜点类
cake                蛋糕
pancake             薄饼
pie                 派
chocolate            巧克力
popcorn             爆米花
ice cream            冰激凌
jelly                果冻
cheese                奶油
candy                 糖果

meal: 正餐类
breakfast              早餐
lunch                 午餐
supper                晚餐
dinner                大餐

dinnerware: 餐具类
bowl                  碗
wok                   锅
plate                  盘子
dish                   碟子
chopsticks              筷子
fork                   叉子
spoon                  勺子
knife                   刀

Chinese Food:  中餐类
meatball	肉丸子
egg	鸡蛋
meat	肉
jiaozi	饺子
noodles	面条
tofu	豆腐
chicken	鸡肉
fish	鱼肉
beef	牛肉
Beijing duck	烤鸭
rice	米饭
pancake              煎饼
seafood              海鲜
soup                 汤
morning tea           早茶
mantou	馒头

Western Style Food: 西餐类
hamburger	汉堡包
sandwich	三明治
pizza	披萨
hot dog	热狗
salad	沙拉
sausage	香肠
junk food             垃圾食品

Flavoring: 调料类
oil	油
salt	盐
sugar	糖
pepper	胡椒粉
sauce	酱
flour	面粉
soy sauce	酱油
vinegar	醋

动词类
wash	洗
cut	切
crack	敲碎
mix	混合
put	放
stir-fry	快炒
add	加
serve	将饭菜摆上桌

Dish: 菜肴类
stir-fried meat and potatoes	
土豆炖肉
stir-fried rice and vegetables	
蔬菜炒饭
stir-fried tomato and eggs	
西红柿炒鸡蛋
stir-fried cucumber and eggs	
黄瓜炒鸡蛋
cucumber salad	
凉拌黄瓜

illness: (疾病)
have a cold           感冒
have a headache       头疼
have a stomachache    胃疼
have a toothache       牙疼
have an earache        耳朵疼
have a fever           发烧
have a running nose    流鼻涕
be tired              疲劳的
be sleepy             犯困的

Keeping Healthy（保持健康）
Should 应该
drink more water           多喝水
drink milk every day        每天喝奶
exercise every day          每天锻炼
go to bed early             早睡
get up early               早起
get plenty of sleep          睡够觉
